interval_index,mid_time_s,full_median_e_s,left_median_e_s,right_median_e_s,left_right_asymmetry,good_pixel_fraction,full_rate_robust_z,asymmetry_robust_z,anomaly,interval_duration_s
0,52.932446500000005,1.2375186243927707,1.4296467844073812,1.1810951022042038,0.19040693641742296,0.6714583216206593,3.4605745735777647,15.707880207774613,True,100.000311
1,152.932762,1.2263946820232832,1.3891407291763689,1.1841867303660614,0.15929103624204197,0.635095153763985,3.3296349647828083,12.992677865351443,True,100.00031999999999
2,252.93307499999997,1.1729316992985899,1.2459732204910794,1.151207558512125,0.07906425982470938,0.6344134761342554,2.7003237178830886,5.9920148594407,True,100.000306
3,352.9333805,1.085043354132852,1.1169054960573412,1.074804031233287,0.03841883634652969,0.6338372125709788,1.6657925102058648,2.44525746483854,False,100.00030500000003
4,452.9336855,1.0146207404927714,1.035653427383919,1.0079707894738268,0.02709171058136785,0.6333616780045351,0.8368499308516653,1.4568419526039595,False,100.00030499999997
5,552.9339904999999,0.9877002414281648,0.9960296969857503,0.9849413300906522,0.01119488043342333,0.6329083975187871,0.5199695031218917,0.06966979266262446,False,100.00030499999997
6,652.9342955,0.9632992504855827,0.964379677987468,0.962972104164869,0.0014606299022663688,0.6324445756263938,0.23274613373489708,-0.7797499475653388,False,100.00030500000003
7,752.9346005,0.923753469003337,0.9304094460531823,0.9215618501897587,0.009554787248995274,0.6320170630235565,-0.23274613373489708,-0.0734462615428298,False,100.00030500000003
8,852.934906,0.9148114032776571,0.9181820328552728,0.9136460408856635,0.0049524210646536854,0.6315637825378085,-0.33800293470061893,-0.47505300838220377,False,100.00030600000002
9,952.9352115,0.8987879550772316,0.9041365467835827,0.8971046587994798,0.007807824917958947,0.631267451884335,-0.5266144870819897,-0.2258878167162146,False,100.00030500000003
10,1052.9355165,0.8962317573828897,0.9027370534252103,0.8941139071427827,0.009598065139138457,0.63091724293023,-0.5567034173355105,-0.06966979266262446,False,100.00030499999991
11,1152.935852,0.8933933088215784,0.8992489663215268,0.8914638412278696,0.008695001298741203,0.6304932441296077,-0.590114714504954,-0.1484719819286872,False,100.00036599999999
12,1252.9362179999998,0.879057016384664,0.8802471036740978,0.8786615206937594,0.001802916829642866,0.6301278086992372,-0.7588668044482364,-0.7498816724469856,False,100.00036599999999
13,1352.9365845,0.8756403293814979,0.8871967065562676,0.8720128922349666,0.017262086714094686,0.6297014673638051,-0.7990845298471492,0.5990998465062048,False,100.0003670000001
