late_intervals,threshold_e_s,late_time_offset_e_s,flagged_count,last_flagged_interval,flagged_duration_s,integrated_excess_e_per_pixel,peak_excess_e_s,flagged_intervals
3,0.02,0.013709705313634135,9,8,900.0027680000001,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6,7,8"
3,0.03,0.013709705313634135,9,8,900.0027680000001,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6,7,8"
3,0.039999999999999994,0.013709705313634135,8,7,800.002462,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6,7"
3,0.049999999999999996,0.013709705313634135,8,7,800.002462,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6,7"
3,0.06,0.013709705313634135,7,6,700.002157,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6"
3,0.06999999999999999,0.013709705313634135,7,6,700.002157,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6"
3,0.07999999999999999,0.013709705313634135,7,6,700.002157,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5,6"
3,0.09,0.013709705313634135,6,5,600.001852,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5"
3,0.09999999999999999,0.013709705313634135,6,5,600.001852,205.9545321746138,0.5030899021832269,"0,1,2,3,4,5"
4,0.02,0.020955235960260665,9,8,900.0027680000001,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6,7,8"
4,0.03,0.020955235960260665,9,8,900.0027680000001,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6,7,8"
4,0.039999999999999994,0.020955235960260665,8,7,800.002462,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6,7"
4,0.049999999999999996,0.020955235960260665,7,6,700.002157,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6"
4,0.06,0.020955235960260665,7,6,700.002157,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6"
4,0.06999999999999999,0.020955235960260665,7,6,700.002157,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5,6"
4,0.07999999999999999,0.020955235960260665,6,5,600.001852,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5"
4,0.09,0.020955235960260665,6,5,600.001852,197.25986827139528,0.4958443715366004,"0,1,2,3,4,5"
4,0.09999999999999999,0.020955235960260665,5,4,500.001547,197.25986827139528,0.4958443715366004,"0,1,2,3,4"
5,0.02,0.028200766606887195,9,8,900.0027680000001,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6,7,8"
5,0.03,0.028200766606887195,8,7,800.002462,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6,7"
5,0.039999999999999994,0.028200766606887195,7,6,700.002157,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6"
5,0.049999999999999996,0.028200766606887195,7,6,700.002157,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6"
5,0.06,0.028200766606887195,7,6,700.002157,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6"
5,0.06999999999999999,0.028200766606887195,7,6,700.002157,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5,6"
5,0.07999999999999999,0.028200766606887195,6,5,600.001852,188.5652043681767,0.48859884088997385,"0,1,2,3,4,5"
5,0.09,0.028200766606887195,5,4,500.001547,188.5652043681767,0.48859884088997385,"0,1,2,3,4"
5,0.09999999999999999,0.028200766606887195,5,4,500.001547,188.5652043681767,0.48859884088997385,"0,1,2,3,4"
6,0.02,0.028826879767348268,9,8,900.0027680000001,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6,7,8"
6,0.03,0.028826879767348268,8,7,800.002462,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6,7"
6,0.039999999999999994,0.028826879767348268,7,6,700.002157,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6"
6,0.049999999999999996,0.028826879767348268,7,6,700.002157,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6"
6,0.06,0.028826879767348268,7,6,700.002157,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6"
6,0.06999999999999999,0.028826879767348268,7,6,700.002157,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5,6"
6,0.07999999999999999,0.028826879767348268,6,5,600.001852,187.87647777665927,0.4879727277295128,"0,1,2,3,4,5"
6,0.09,0.028826879767348268,5,4,500.001547,187.87647777665927,0.4879727277295128,"0,1,2,3,4"
6,0.09999999999999999,0.028826879767348268,5,4,500.001547,187.87647777665927,0.4879727277295128,"0,1,2,3,4"
