interval_index,mid_time_s,interval_duration_s,test_full_median_e_s,control_full_median_e_s,test_left_right_asymmetry,control_left_right_asymmetry,full_rate_difference_e_s,late_time_offset_e_s,transient_excess_e_s,transient_excess_charge_e,common_mode_flag,spatial_flag,classification,source_free_test_median_e_s,source_free_control_median_e_s,source_free_transient_excess_e_s,source_free_common_mode_flag,source_free_minus_all_excess_e_s
0,52.932446500000005,100.000311,1.403660712047687,0.8919069443331694,0.5384901184164694,-6.560618319130821e-05,0.5117537677145175,0.020955235960260665,0.49079853175425686,49.08000581376906,True,True,common-mode + spatial,1.3979625930642705,0.8887532626584265,0.48766459630784287,True,-0.0031339354464139935
1,152.932762,100.00031999999999,1.4049534825605647,0.8881538750637037,0.5033900706062535,0.0036769080070361217,0.516799607496861,0.020955235960260665,0.4958443715366004,49.584595823858926,True,True,common-mode + spatial,1.3995273143982097,0.8848603539276236,0.49312222637258485,True,-0.0027221451640155325
2,252.93307499999997,100.000306,1.2796370542013848,0.8891912792862091,0.22297451877278757,0.005601646762985112,0.39044577491517574,0.020955235960260665,0.36949053895491507,36.949166959596425,True,True,common-mode + spatial,1.2763741353820626,0.8861005253582462,0.36872887592581516,True,-0.0007616630290999127
3,352.9333805,100.00030500000003,1.132235624092342,0.8953004056130127,0.10418277768478948,0.0017567143364041252,0.2369352184793292,0.020955235960260665,0.21597998251906853,21.598064125801525,True,True,common-mode + spatial,1.1296460221036426,0.8921516202219794,0.2159496677836621,True,-3.03147354064337e-05
4,452.9336855,100.00030499999997,1.035995526873621,0.8910671219159219,0.054596118616546736,0.004629699568934616,0.1449284049576991,0.020955235960260665,0.12397316899743843,12.397354711560384,True,False,common-mode,1.0333012123377632,0.8879371749752438,0.12381930326451818,True,-0.0001538657329202553
5,552.9339904999999,100.00030499999997,0.9943776499604704,0.8782351929168437,0.019277380636807066,0.009380051274648322,0.11614245704362669,0.020955235960260665,0.09518722108336602,9.51875114043903,True,False,common-mode,0.9918738662438116,0.8750718749244241,0.09525725722138634,True,7.003613802031294e-05
6,652.9342955,100.00030500000003,0.9639050123242329,0.8644368047873128,0.0021058741260358217,0.013921800071429858,0.0994682075369201,0.020955235960260665,0.07851297157665943,7.851321104122276,True,False,common-mode,0.9613388102265726,0.8613254751878294,0.07846860094074204,True,-4.43706359173901e-05
7,752.9346005,100.00030500000003,0.9249577874779386,0.8597231465510149,0.00780749447636195,0.008064550247330226,0.06523464092692366,0.020955235960260665,0.044279404966662994,4.427954001884816,False,False,nominal,0.9224418640025038,0.8566950058181512,0.04420212408635149,False,-7.728088031150326e-05
8,852.934906,100.00030600000002,0.9146265612536245,0.8631685339950682,0.0025032362794508876,0.003303259373766186,0.051458027258556305,0.020955235960260665,0.03050279129829564,3.0502884636837018,False,False,nominal,0.9120876955235966,0.8600063506563101,0.030536610769285266,False,3.3819470989626677e-05
9,952.9352115,100.00030500000003,0.8996505213026484,0.8664150015814381,0.006008142699435727,0.00045602276106043943,0.033235519721210305,0.020955235960260665,0.01228028376094964,1.2280321215815113,False,False,nominal,0.8971163344234125,0.8632121696468191,0.012359430678592243,False,7.914691764260295e-05
10,1052.9355165,100.00030499999991,0.8972422840558596,0.8677892911280503,0.00724364033426416,0.003287308580041811,0.02945299292780934,0.020955235960260665,0.008497756967548675,0.8497782885707419,False,False,nominal,0.8947460531572513,0.8645486839755472,0.008652635083702953,False,0.00015487811615427782
11,1152.935852,100.00036599999999,0.8940219330989749,0.8658211664920877,0.006121741327246901,0.005463606524592551,0.028200766606887195,0.020955235960260665,0.00724553064662653,0.7245557165268696,False,False,nominal,0.8914751533225406,0.8627391928917927,0.007191226332746714,False,-5.4304313879816046e-05
12,1252.9362179999998,100.00036599999999,0.8790374165010644,0.8693857623844612,0.0010156637783968064,0.018338829503173663,0.009651654116603181,0.020955235960260665,-0.011303581843657484,0.0,False,False,nominal,0.8765179753795488,0.8662528831544566,-0.011279641872908974,False,2.3939970748509953e-05
13,1352.9365845,100.0003670000001,0.8784048173494152,0.8646951120357811,0.014969186578719434,-0.005711471676169374,0.013709705313634135,0.020955235960260665,-0.00724553064662653,0.0,False,False,nominal,0.875847816056617,0.8614943082913625,-0.007191226332746714,False,5.4304313879816046e-05
